DATE,AvgTemp
2014-01-01,40.0
2014-01-02,43.0
2014-01-03,41.0
2014-01-04,37.0
2014-01-05,31.0
2014-01-06,31.0
2014-01-07,37.0
2014-01-08,36.0
2014-01-09,36.0
2014-01-10,39.0
2014-01-11,40.0
2014-01-12,39.0
2014-01-13,36.0
2014-01-14,39.0
2014-01-15,43.0
2014-01-16,45.0
2014-01-17,50.0
2014-01-18,46.0
2014-01-19,44.0
2014-01-20,45.0
2014-01-21,48.0
2014-01-22,38.0
2014-01-23,39.0
2014-01-24,47.0
2014-01-25,52.0
2014-01-26,50.0
2014-01-27,45.0
2014-01-28,34.0
2014-01-29,33.0
2014-01-30,34.0
2014-01-31,38.0
2014-02-01,43.0
2014-02-02,43.0
2014-02-03,43.0
2014-02-04,46.0
2014-02-05,46.0
2014-02-06,44.0
2014-02-07,46.0
2014-02-08,45.0
2014-02-09,46.0
2014-02-10,45.0
2014-02-11,43.0
2014-02-12,44.0
2014-02-13,42.0
2014-02-14,42.0
2014-02-15,47.0
2014-02-16,41.0
2014-02-17,40.0
2014-02-18,41.0
2014-02-19,41.0
2014-02-20,40.0
2014-02-21,41.0
2014-02-22,41.0
2014-02-23,41.0
2014-02-24,42.0
2014-02-25,40.0
2014-02-26,43.0
2014-02-27,46.0
2014-02-28,47.0
2014-03-01,48.0
2014-03-02,38.0
2014-03-03,37.0
2014-03-04,39.0
2014-03-05,40.0
2014-03-06,41.0
2014-03-07,44.0
2014-03-08,39.0
2014-03-09,42.0
2014-03-10,40.0
2014-03-11,40.0
2014-03-12,40.0
2014-03-13,44.0
2014-03-14,44.0
2014-03-15,40.0
2014-03-16,40.0
2014-03-17,45.0
2014-03-18,44.0
2014-03-19,44.0
2014-03-20,41.0
2014-03-21,39.0
2014-03-22,37.0
2014-03-23,39.0
2014-03-24,41.0
2014-03-25,44.0
2014-03-26,45.0
2014-03-27,39.0
2014-03-28,36.0
2014-03-29,36.0
2014-03-30,37.0
2014-03-31,37.0
2014-04-01,40.0
2014-04-02,43.0
2014-04-03,44.0
2014-04-04,41.0
2014-04-05,41.0
2014-04-06,42.0
2014-04-07,42.0
2014-04-08,44.0
2014-04-09,45.0
2014-04-10,45.0
2014-04-11,47.0
2014-04-12,44.0
2014-04-13,41.0
2014-04-14,41.0
2014-04-15,45.0
2014-04-16,50.0
2014-04-17,50.0
2014-04-18,52.0
2014-04-19,52.0
2014-04-20,49.0
2014-04-21,47.0
2014-04-22,48.0
2014-04-23,50.0
2014-04-24,50.0
2014-04-25,51.0
2014-04-26,54.0
2014-04-27,48.0
2014-04-28,47.0
2014-04-29,46.0
2014-04-30,44.0
2014-05-01,45.0
2014-05-02,45.0
2014-05-03,46.0
2014-05-04,46.0
2014-05-05,47.0
2014-05-06,49.0
2014-05-07,51.0
2014-05-08,52.0
2014-05-09,52.0
2014-05-10,49.0
2014-05-11,48.0
2014-05-12,47.0
2014-05-13,47.0
2014-05-14,48.0
2014-05-15,50.0
2014-05-16,52.0
2014-05-17,
2014-05-18,52.0
2014-05-19,52.0
2014-05-20,53.0
2014-05-21,55.0
2014-05-22,52.0
2014-05-23,50.0
2014-05-24,48.0
2014-05-25,45.0
2014-05-26,42.0
2014-05-27,42.0
2014-05-28,43.0
2014-05-29,44.0
2014-05-30,46.0
2014-05-31,43.0
2014-06-01,44.0
2014-06-02,42.0
2014-06-03,46.0
2014-06-04,45.0
2014-06-05,48.0
2014-06-06,44.0
2014-06-07,45.0
2014-06-08,48.0
2014-06-09,51.0
2014-06-10,52.0
2014-06-11,49.0
2014-06-12,45.0
2014-06-13,46.0
2014-06-14,50.0
2014-06-15,51.0
2014-06-16,50.0
2014-06-17,45.0
2014-06-18,44.0
2014-06-19,49.0
2014-06-20,46.0
2014-06-21,42.0
2014-06-22,45.0
2014-06-23,51.0
2014-06-24,51.0
2014-06-25,54.0
2014-06-26,56.0
2014-06-27,54.0
2014-06-28,53.0
2014-06-29,53.0
2014-06-30,52.0
2014-07-01,54.0
2014-07-02,54.0
2014-07-03,57.0
2014-07-04,56.0
2014-07-05,52.0
2014-07-06,49.0
2014-07-07,48.0
2014-07-08,50.0
2014-07-09,51.0
2014-07-10,53.0
2014-07-11,53.0
2014-07-12,52.0
2014-07-13,48.0
2014-07-14,46.0
2014-07-15,47.0
2014-07-16,46.0
2014-07-17,49.0
2014-07-18,48.0
2014-07-19,49.0
2014-07-20,46.0
2014-07-21,50.0
2014-07-22,48.0
2014-07-23,53.0
2014-07-24,54.0
2014-07-25,54.0
2014-07-26,50.0
2014-07-27,46.0
2014-07-28,47.0
2014-07-29,44.0
2014-07-30,47.0
2014-07-31,47.0
2014-08-01,53.0
2014-08-02,51.0
2014-08-03,52.0
2014-08-04,54.0
2014-08-05,52.0
2014-08-06,50.0
2014-08-07,46.0
2014-08-08,47.0
2014-08-09,48.0
2014-08-10,46.0
2014-08-11,48.0
2014-08-12,49.0
2014-08-13,52.0
2014-08-14,54.0
2014-08-15,54.0
2014-08-16,52.0
2014-08-17,49.0
